,appid,tags,genre
0,570,"['Free to Play', 'MOBA', 'Multiplayer', 'Strategy', 'e-sports', 'Team-Based', 'Competitive', 'Action', 'Online Co-Op', 'PvP', 'Difficult', 'Co-op', 'RTS', 'Tower Defense', 'RPG', 'Fantasy', 'Character Customization', 'Replay Value', 'Action RPG', 'Simulation']","Action, Free to Play, Strategy"
1,730,"['FPS', 'Shooter', 'Multiplayer', 'Competitive', 'Action', 'Team-Based', 'e-sports', 'Tactical', 'First-Person', 'PvP', 'Online Co-Op', 'Co-op', 'Strategy', 'Military', 'War', 'Difficult', 'Trading', 'Realistic', 'Fast-Paced', 'Moddable']","Action, Free to Play"
2,578080,"['Survival', 'Shooter', 'Battle Royale', 'Multiplayer', 'FPS', 'PvP', 'Third-Person Shooter', 'Action', 'Online Co-Op', 'Tactical', 'Co-op', 'First-Person', 'Strategy', 'Early Access', 'Competitive', 'Third Person', 'Team-Based', 'Difficult', 'Simulation', 'Stealth']","Action, Adventure, Free to Play, Massively Multiplayer"
3,1063730,"['Massively Multiplayer', 'Open World', 'MMORPG', 'RPG', 'Adventure', 'Action', 'PvP', 'PvE', 'Multiplayer', 'Walking Simulator', 'Fantasy', 'Character Customization', 'Crafting', 'Third Person', 'Co-op', 'Open World Survival Craft', 'Sandbox', 'Violent', 'Sexual Content', 'Singleplayer']","Action, Adventure, Massively Multiplayer, RPG"
4,1172470,"['Free to Play', 'Multiplayer', 'Battle Royale', 'Shooter', 'FPS', 'First-Person', 'PvP', 'Action', 'Hero Shooter', 'Team-Based', 'Tactical', 'Sci-fi', 'Survival', 'Character Customization', 'Funny', 'Loot', 'Lore-Rich', 'Co-op', 'Cyberpunk', 'Cinematic']","Action, Adventure, Free to Play"
5,271590,"['Open World', 'Action', 'Multiplayer', 'Crime', 'Automobile Sim', 'Third Person', 'First-Person', 'Shooter', 'Mature', 'Adventure', 'Singleplayer', 'Third-Person Shooter', 'Racing', 'Co-op', 'Atmospheric', 'Sandbox', 'Funny', 'Great Soundtrack', 'Comedy', 'Moddable']","Action, Adventure"
6,304930,"['Free to Play', 'Survival', 'Zombies', 'Multiplayer', 'Open World', 'Co-op', 'Crafting', 'Adventure', 'First-Person', 'Sandbox', 'FPS', 'Action', 'Shooter', 'Looter Shooter', 'Post-apocalyptic', 'Singleplayer', 'Massively Multiplayer', 'Indie', 'Atmospheric', 'Casual']","Action, Adventure, Casual, Free to Play, Indie"
7,550,"['Zombies', 'Co-op', 'FPS', 'Multiplayer', 'Shooter', 'Action', 'Online Co-Op', 'Survival', 'Horror', 'First-Person', 'Gore', 'Team-Based', 'Moddable', 'Survival Horror', 'Post-apocalyptic', 'Singleplayer', 'Adventure', 'Local Co-Op', 'Replay Value', 'Tactical']",Action
8,1599340,"['MMORPG', 'Free to Play', 'Action RPG', 'Multiplayer', 'RPG', 'Hack and Slash', 'Action', 'Massively Multiplayer', 'Adventure', 'Character Customization', 'PvP', 'Fantasy', 'PvE', 'Sexual Content', 'Isometric', 'Online Co-Op', 'Class-Based', 'Violent', 'Gore', 'Singleplayer']","Action, Adventure, Free to Play, Massively Multiplayer, RPG"
9,252490,"['Survival', 'Crafting', 'Multiplayer', 'Open World', 'Open World Survival Craft', 'Building', 'PvP', 'Sandbox', 'Adventure', 'First-Person', 'Action', 'FPS', 'Nudity', 'Co-op', 'Shooter', 'Online Co-Op', 'Indie', 'Early Access', 'Post-apocalyptic', 'Simulation']","Action, Adventure, Indie, Massively Multiplayer, RPG"
10,230410,"['Free to Play', 'Action RPG', 'Looter Shooter', 'RPG', 'Action', 'Third-Person Shooter', 'Third Person', 'Character Customization', 'Massively Multiplayer', 'Online Co-Op', 'Co-op', 'Lore-Rich', 'PvE', 'Sci-fi', 'Singleplayer', 'Space', 'Hack and Slash', 'Shooter', 'Ninja', 'Parkour']","Action, Free to Play, RPG"
